customer_id,customer_name,customer_type,country,age,age_group,gender,repeat_guest_flag,email,phone
CID0056,Shobha Dixit,Family,India,37,36-50,Female,0,shobha.dixit56@gmail.com,9766823010
CID0057,Darshan Agarwal,Business,Nepal,24,18-25,Male,0,darshan.agarwal57@gmail.com,9384161612
CID0058,Suresh Joshi,Business,India,29,26-35,Male,1,suresh.joshi58@gmail.com,9538642403
CID0059,Tina Banerjee,Business,India,48,36-50,Female,1,tina.banerjee59@gmail.com,9409350265
CID0060,Vishal Banerjee,Single,India,22,18-25,Male,0,vishal.banerjee60@gmail.com,9945923902
CID0061,Sujit Pillai,Leisure,India,45,36-50,Male,0,sujit.pillai61@gmail.com,9795392488
CID0062,Pravin Dixit,Single,India,70,65+,Male,1,pravin.dixit62@gmail.com,9278158234
CID0063,Nisha Agarwal,Couple,India,36,36-50,Female,1,nisha.agarwal63@gmail.com,9839462365
CID0064,Nisha Banerjee,Leisure,India,35,26-35,Female,0,nisha.banerjee64@gmail.com,9742136977
CID0065,Amit Kulkarni,Leisure,India,65,51-65,Female,0,amit.kulkarni65@gmail.com,9127772220
CID0066,Manoj Mehta,Leisure,UK,71,65+,Male,0,manoj.mehta66@gmail.com,9821856853
CID0067,Ritu Saxena,Business,India,66,65+,Male,0,ritu.saxena67@gmail.com,9799552991
CID0068,Jasmine Dixit,Couple,India,29,26-35,Female,0,jasmine.dixit68@gmail.com,9627986559
CID0069,Pooja Nair,Business,India,44,36-50,Female,0,pooja.nair69@gmail.com,9212313264
CID0070,Radha Malhotra,Family,India,62,51-65,Female,0,radha.malhotra70@gmail.com,9529982328
CID0071,Ananya Patel,Couple,India,23,18-25,Female,1,ananya.patel71@gmail.com,9224469868
CID0072,Ranjit Desai,Business,India,70,65+,Male,0,ranjit.desai72@gmail.com,9682605435
CID0073,Pallavi Rao,Business,India,30,26-35,Female,0,pallavi.rao73@gmail.com,9635252889
CID0074,Kusum Mukherjee,Couple,India,31,26-35,Female,0,kusum.mukherjee74@gmail.com,9409268943
CID0075,Akash Kulkarni,Couple,Australia,49,36-50,Male,1,akash.kulkarni75@gmail.com,9776481264
CID0076,Ayush Trivedi,Couple,India,63,51-65,Male,0,ayush.trivedi76@gmail.com,9114682844
CID0077,Aaditya Rao,Couple,India,32,26-35,Male,0,aaditya.rao77@gmail.com,9226128312
CID0078,Anjali Nair,Business,Canada,36,36-50,Female,0,anjali.nair78@gmail.com,9618079974
CID0079,Vijay Mehta,Leisure,India,53,51-65,Male,0,vijay.mehta79@gmail.com,9743576792
CID0080,Shreyash Das,Business,India,22,18-25,Female,0,shreyash.das80@gmail.com,9545541033
CID0081,Balram Dixit,Family,India,35,26-35,Male,0,balram.dixit81@gmail.com,9420571903
CID0082,Sudhir Saxena,Couple,India,49,36-50,Male,0,sudhir.saxena82@gmail.com,9620057604
CID0083,Pramila Malhotra,Leisure,India,66,65+,Female,0,pramila.malhotra83@gmail.com,9445505799
CID0084,Megha Banerjee,Business,India,54,51-65,Female,1,megha.banerjee84@gmail.com,9932734539
CID0085,Kusum Patel,Leisure,India,65,51-65,Female,0,kusum.patel85@gmail.com,9971243675
CID0086,Gaurav Kapoor,Leisure,India,68,65+,Male,0,gaurav.kapoor86@gmail.com,9139749508
CID0087,Rohit Reddy,Couple,India,39,36-50,Male,0,rohit.reddy87@gmail.com,9572775194
CID0088,Arjun Reddy,Couple,India,18,18-25,Male,0,arjun.reddy88@gmail.com,9803066091
CID0089,Anjali Singh,Family,India,68,65+,Female,0,anjali.singh89@gmail.com,9843785903
CID0090,Kritika Bose,Leisure,India,72,65+,Female,0,kritika.bose90@gmail.com,9672972597
CID0091,Ekta Malhotra,Business,India,63,51-65,Female,0,ekta.malhotra91@gmail.com,9138546365
CID0092,Muskan Singh,Couple,India,58,51-65,Female,0,muskan.singh92@gmail.com,9901834280
CID0093,Dhananjay Rao,Couple,India,66,65+,Male,0,dhananjay.rao93@gmail.com,9845178074
CID0094,Nisha Kulkarni,Leisure,India,20,18-25,Female,0,nisha.kulkarni94@gmail.com,9415001254
CID0095,Manish Chopra,Couple,India,27,26-35,Male,0,manish.chopra95@gmail.com,9707660630
CID0096,Divya Joshi,Leisure,India,23,18-25,Female,0,divya.joshi96@gmail.com,9358589021
CID0097,Harsh Dixit,Leisure,India,27,26-35,Male,0,harsh.dixit97@gmail.com,9372706093
CID0098,Pallavi Verma,Leisure,USA,18,18-25,Female,0,pallavi.verma98@gmail.com,9827579147
CID0099,Tanvi Joshi,Business,India,46,36-50,Female,0,tanvi.joshi99@gmail.com,9421214426
CID0100,Shruti Banerjee,Business,India,47,36-50,Female,1,shruti.banerjee100@gmail.com,9513061224
CID0101,Riya Kumar,Business,India,42,36-50,Female,0,riya.kumar101@gmail.com,9850845198
CID0102,Meera Sharma,Couple,India,43,36-50,Female,1,meera.sharma102@gmail.com,9836371599
CID0103,Sneha Dixit,Leisure,India,65,51-65,Female,0,sneha.dixit103@gmail.com,9407298630
CID0104,Aditya Agarwal,Leisure,India,32,26-35,Male,0,aditya.agarwal104@gmail.com,9827744047
CID0105,Rohit Bose,Family,India,58,51-65,Male,0,rohit.bose105@gmail.com,9573330302
CID0106,Amit Saxena,Business,India,64,51-65,Male,1,amit.saxena106@gmail.com,9416872439
CID0107,Sanjay Das,Leisure,India,29,26-35,Male,1,sanjay.das107@gmail.com,9679184667
CID0108,Tanya Reddy,Couple,India,35,26-35,Male,1,tanya.reddy108@gmail.com,9985503942
CID0109,Riya Trivedi,Business,India,65,51-65,Female,0,riya.trivedi109@gmail.com,9602866993
CID0110,Chhaya Gupta,Business,India,61,51-65,Female,0,chhaya.gupta110@gmail.com,9963919401
CID0111,Ananya Chopra,Leisure,India,68,65+,Female,1,ananya.chopra111@gmail.com,9676140134
CID0112,Neha Iyer,Business,India,61,51-65,Female,0,neha.iyer112@gmail.com,9983063850
CID0113,Tanya Kumar,Family,UK,32,26-35,Female,1,tanya.kumar113@gmail.com,9702806585
CID0114,Sanjay Dixit,Couple,India,32,26-35,Male,0,sanjay.dixit114@gmail.com,9598503464
CID0115,Ankur Bose,Couple,India,25,18-25,Male,1,ankur.bose115@gmail.com,9139956218
CID0116,Kuldeep Nair,Family,India,24,18-25,Male,0,kuldeep.nair116@gmail.com,9245668163
CID0117,Chandani Iyer,Couple,India,60,51-65,Female,0,chandani.iyer117@gmail.com,9880179899
CID0118,Kedar Kulkarni,Business,India,59,51-65,Male,0,kedar.kulkarni118@gmail.com,9761051532
CID0119,Meghna Verma,Family,India,62,51-65,Female,1,meghna.verma119@gmail.com,9577488537
CID0120,Kavya Desai,Single,India,24,18-25,Female,0,kavya.desai120@gmail.com,9792377512
CID0121,Manish Patel,Couple,India,35,26-35,Male,0,manish.patel121@gmail.com,9984968439
CID0122,Ritesh Singh,Family,India,31,26-35,Male,1,ritesh.singh122@gmail.com,9458102728
CID0123,Ghanshyam Gupta,Leisure,India,31,26-35,Male,0,ghanshyam.gupta123@gmail.com,9695076080
CID0124,Akhil Saxena,Business,India,70,65+,Male,0,akhil.saxena124@gmail.com,9258435089
CID0125,Ayush Sharma,Business,India,72,65+,Male,0,ayush.sharma125@gmail.com,9680051935
CID0126,Deepak Trivedi,Leisure,India,25,18-25,Male,1,deepak.trivedi126@gmail.com,9484659715
CID0127,Tejas Saxena,Couple,India,19,18-25,Male,1,tejas.saxena127@gmail.com,9236105947
CID0128,Nikhil Reddy,Family,India,65,51-65,Male,0,nikhil.reddy128@gmail.com,9935389432
CID0129,Tanya Reddy,Business,India,24,18-25,Female,0,tanya.reddy129@gmail.com,9760465943
CID0130,Amit Das,Leisure,India,51,51-65,Female,0,amit.das130@gmail.com,9133447745
CID0131,Nagesh Nair,Leisure,India,45,36-50,Male,0,nagesh.nair131@gmail.com,9576271425
CID0132,Vikram Kulkarni,Business,India,38,36-50,Male,1,vikram.kulkarni132@gmail.com,9395296179
CID0133,Muskan Bose,Business,India,53,51-65,Female,0,muskan.bose133@gmail.com,9741444618
CID0134,Ishaan Khanna,Leisure,India,50,36-50,Female,1,ishaan.khanna134@gmail.com,9853529912
CID0135,Prashanth Desai,Family,India,59,51-65,Male,0,prashanth.desai135@gmail.com,9345343109
CID0136,Deepika Malhotra,Leisure,India,43,36-50,Female,0,deepika.malhotra136@gmail.com,9435596237
CID0137,Shruti Malhotra,Leisure,USA,34,26-35,Female,0,shruti.malhotra137@gmail.com,9837468465
CID0138,Krishna Singh,Couple,India,71,65+,Male,1,krishna.singh138@gmail.com,9203685265
CID0139,Tanya Trivedi,Leisure,India,53,51-65,Male,0,tanya.trivedi139@gmail.com,9702998820
CID0140,Ananya Malhotra,Family,USA,25,18-25,Female,0,ananya.malhotra140@gmail.com,9814403943
CID0141,Shruti Desai,Family,France,21,18-25,Female,0,shruti.desai141@gmail.com,9477577220
CID0142,Arjun Saxena,Single,India,31,26-35,Male,0,arjun.saxena142@gmail.com,9340781088
CID0143,Arjun Chopra,Single,India,41,36-50,Male,0,arjun.chopra143@gmail.com,9716435189
CID0144,Aditya Trivedi,Leisure,India,72,65+,Male,0,aditya.trivedi144@gmail.com,9806340901
CID0145,Ritu Sharma,Leisure,India,35,26-35,Female,0,ritu.sharma145@gmail.com,9476908532
CID0146,Bela Joshi,Business,India,54,51-65,Female,1,bela.joshi146@gmail.com,9895609471
CID0147,Priya Singh,Couple,India,31,26-35,Female,0,priya.singh147@gmail.com,9466034277
CID0148,Sheela Chopra,Leisure,India,64,51-65,Female,0,sheela.chopra148@gmail.com,9709448939
CID0149,Ayush Singh,Business,India,27,26-35,Male,0,ayush.singh149@gmail.com,9153432064
CID0150,Pooja Verma,Leisure,India,60,51-65,Female,0,pooja.verma150@gmail.com,9574641329
CID0151,Nikhil Verma,Family,India,66,65+,Male,0,nikhil.verma151@gmail.com,9219066986
CID0152,Lavanya Pillai,Business,UK,55,51-65,Female,0,lavanya.pillai152@gmail.com,9431162800
CID0153,Amit Mehta,Business,India,56,51-65,Male,1,amit.mehta153@gmail.com,9423646570
CID0154,Meera Mukherjee,Leisure,India,66,65+,Female,0,meera.mukherjee154@gmail.com,9228832213
CID0155,Rahul Nair,Family,India,29,26-35,Male,0,rahul.nair155@gmail.com,9855561271
CID0156,Sunanda Reddy,Business,India,71,65+,Female,1,sunanda.reddy156@gmail.com,9896760809
CID0157,Amit Rao,Couple,India,47,36-50,Male,0,amit.rao157@gmail.com,9718216692
CID0158,Shruti Saxena,Couple,India,63,51-65,Female,0,shruti.saxena158@gmail.com,9534900128
CID0159,Priya Malhotra,Business,India,69,65+,Female,0,priya.malhotra159@gmail.com,9488536370
CID0160,Pooja Rao,Couple,India,33,26-35,Female,0,pooja.rao160@gmail.com,9662600500
CID0161,Pooja Kapoor,Leisure,India,65,51-65,Female,1,pooja.kapoor161@gmail.com,9936571442
CID0162,Suresh Singh,Couple,India,58,51-65,Male,0,suresh.singh162@gmail.com,9308202515
CID0163,Manish Chopra,Couple,Malaysia,70,65+,Male,1,manish.chopra163@gmail.com,9257243284
CID0164,Deepak Shah,Leisure,India,56,51-65,Male,0,deepak.shah164@gmail.com,9803847447
CID0165,Sulochana Joshi,Business,India,49,36-50,Female,0,sulochana.joshi165@gmail.com,9915911873
CID0166,Simran Iyer,Couple,UAE,54,51-65,Female,0,simran.iyer166@gmail.com,9773469560
CID0167,Namrata Gupta,Leisure,India,22,18-25,Female,0,namrata.gupta167@gmail.com,9425150964
CID0168,Ritu Saxena,Business,India,40,36-50,Male,0,ritu.saxena168@gmail.com,9585238820
CID0169,Amit Patel,Business,India,71,65+,Female,1,amit.patel169@gmail.com,9196955134
CID0170,Muskan Agarwal,Leisure,India,42,36-50,Female,0,muskan.agarwal170@gmail.com,9950207886
CID0171,Amit Iyer,Couple,India,59,51-65,Male,0,amit.iyer171@gmail.com,9610702777
CID0172,Shreyash Gupta,Business,India,46,36-50,Male,0,shreyash.gupta172@gmail.com,9999126903
CID0173,Ram Banerjee,Leisure,India,50,36-50,Male,1,ram.banerjee173@gmail.com,9859803019
CID0174,Akash Iyer,Business,India,51,51-65,Male,0,akash.iyer174@gmail.com,9403754671
CID0175,Gaurav Rao,Couple,India,61,51-65,Male,0,gaurav.rao175@gmail.com,9795038832
CID0176,Swati Singh,Business,India,24,18-25,Female,0,swati.singh176@gmail.com,9877103091
CID0177,Ayush Desai,Couple,India,39,36-50,Male,0,ayush.desai177@gmail.com,9251857566
CID0178,Heena Khanna,Leisure,India,62,51-65,Female,1,heena.khanna178@gmail.com,9861104727
CID0179,Pooja Khanna,Family,India,42,36-50,Female,0,pooja.khanna179@gmail.com,9819532005
CID0180,Ishaan Singh,Business,India,60,51-65,Female,0,ishaan.singh180@gmail.com,9119574893
CID0181,Tanya Khanna,Leisure,India,31,26-35,Female,0,tanya.khanna181@gmail.com,9622129427
CID0182,Karan Mehta,Business,India,27,26-35,Male,0,karan.mehta182@gmail.com,9946237594
CID0183,Arjun Reddy,Family,India,71,65+,Male,0,arjun.reddy183@gmail.com,9922816526
CID0184,Muskan Gupta,Family,India,42,36-50,Male,1,muskan.gupta184@gmail.com,9992649957
CID0185,Muskan Trivedi,Leisure,India,64,51-65,Female,1,muskan.trivedi185@gmail.com,9491163514
CID0186,Kavya Iyer,Couple,India,36,36-50,Female,1,kavya.iyer186@gmail.com,9356805216
CID0187,Sumedh Trivedi,Couple,India,71,65+,Male,0,sumedh.trivedi187@gmail.com,9712483158
CID0188,Avni Iyer,Single,India,67,65+,Female,0,avni.iyer188@gmail.com,9549533634
CID0189,Suresh Pandey,Single,India,69,65+,Male,0,suresh.pandey189@gmail.com,9156027635
CID0190,Akhil Desai,Business,India,53,51-65,Male,0,akhil.desai190@gmail.com,9653953485
CID0191,Sharad Khanna,Business,India,66,65+,Male,1,sharad.khanna191@gmail.com,9651208305
CID0192,Dilip Pandey,Family,India,23,18-25,Male,0,dilip.pandey192@gmail.com,9475364113
CID0193,Priya Rao,Family,India,43,36-50,Female,1,priya.rao193@gmail.com,9187623171
CID0194,Tanya Mehta,Couple,India,38,36-50,Male,0,tanya.mehta194@gmail.com,9797889971
CID0195,Vimal Trivedi,Leisure,India,26,26-35,Male,0,vimal.trivedi195@gmail.com,9990949719
CID0196,Riya Banerjee,Leisure,India,66,65+,Female,0,riya.banerjee196@gmail.com,9105638424
CID0197,Hemant Sharma,Couple,India,31,26-35,Male,0,hemant.sharma197@gmail.com,9880862406
CID0198,Bela Reddy,Family,India,25,18-25,Female,1,bela.reddy198@gmail.com,9230833665
CID0199,Sneha Mehta,Family,India,58,51-65,Female,1,sneha.mehta199@gmail.com,9998386592
CID0200,Harsh Agarwal,Couple,India,19,18-25,Male,0,harsh.agarwal200@gmail.com,9412750915
CID0201,Dinesh Sharma,Couple,India,40,36-50,Male,0,dinesh.sharma201@gmail.com,9301126777
CID0202,Anshul Reddy,Business,India,22,18-25,Male,0,anshul.reddy202@gmail.com,9604803700
CID0203,Amit Bose,Business,India,41,36-50,Female,0,amit.bose203@gmail.com,9483426624
CID0204,Vikram Chopra,Family,India,64,51-65,Male,0,vikram.chopra204@gmail.com,9889401015
CID0205,Swati Gupta,Couple,India,40,36-50,Female,0,swati.gupta205@gmail.com,9288000513
CID0206,Kuldeep Banerjee,Business,India,58,51-65,Male,0,kuldeep.banerjee206@gmail.com,9167753684
CID0207,Hardik Patel,Business,India,30,26-35,Male,0,hardik.patel207@gmail.com,9144996163
CID0208,Rani Dixit,Couple,India,50,36-50,Female,0,rani.dixit208@gmail.com,9683074770
CID0209,Samarth Verma,Business,India,66,65+,Male,0,samarth.verma209@gmail.com,9938422254
CID0210,Sneha Desai,Business,India,39,36-50,Female,1,sneha.desai210@gmail.com,9495157577
CID0211,Shruti Kulkarni,Leisure,India,65,51-65,Female,0,shruti.kulkarni211@gmail.com,9515156661
CID0212,Swati Joshi,Couple,India,62,51-65,Female,0,swati.joshi212@gmail.com,9956084565
CID0213,Ishaan Verma,Couple,India,64,51-65,Female,1,ishaan.verma213@gmail.com,9746879296
CID0214,Kiran Mishra,Business,India,38,36-50,Male,1,kiran.mishra214@gmail.com,9809656613
CID0215,Falguni Khanna,Couple,India,56,51-65,Female,1,falguni.khanna215@gmail.com,9576642996
CID0216,Nandita Iyer,Business,India,64,51-65,Female,0,nandita.iyer216@gmail.com,9567013808
CID0217,Ritu Bose,Leisure,India,22,18-25,Female,0,ritu.bose217@gmail.com,9960170255
CID0218,Mohini Sharma,Couple,India,72,65+,Female,1,mohini.sharma218@gmail.com,9172191273
CID0219,Kavya Mukherjee,Couple,India,41,36-50,Female,0,kavya.mukherjee219@gmail.com,9709074302
CID0220,Amit Agarwal,Couple,India,61,51-65,Female,0,amit.agarwal220@gmail.com,9499446327
CID0221,Akash Mukherjee,Couple,India,54,51-65,Male,0,akash.mukherjee221@gmail.com,9527385805
CID0222,Sanjay Bose,Leisure,India,33,26-35,Male,1,sanjay.bose222@gmail.com,9299767568
CID0223,Harsh Reddy,Business,India,53,51-65,Male,1,harsh.reddy223@gmail.com,9379484009
CID0224,Isha Shah,Leisure,India,36,36-50,Female,1,isha.shah224@gmail.com,9245737277
CID0225,Vaishali Iyer,Leisure,India,63,51-65,Female,0,vaishali.iyer225@gmail.com,9970281936
CID0226,Sanjay Pillai,Business,India,63,51-65,Male,0,sanjay.pillai226@gmail.com,9411774120
CID0227,Girish Desai,Family,India,63,51-65,Male,0,girish.desai227@gmail.com,9646272321
CID0228,Aditya Kumar,Leisure,India,68,65+,Male,1,aditya.kumar228@gmail.com,9630452018
CID0229,Priya Chopra,Family,India,54,51-65,Female,0,priya.chopra229@gmail.com,9692326390
CID0230,Yashoda Agarwal,Couple,India,22,18-25,Female,0,yashoda.agarwal230@gmail.com,9869801588
CID0231,Riya Reddy,Couple,India,67,65+,Female,0,riya.reddy231@gmail.com,9179189225
CID0232,Vedika Malhotra,Single,India,22,18-25,Female,0,vedika.malhotra232@gmail.com,9655511084
CID0233,Manish Gupta,Leisure,India,58,51-65,Male,0,manish.gupta233@gmail.com,9238548086
CID0234,Santosh Reddy,Single,India,71,65+,Male,0,santosh.reddy234@gmail.com,9426551245
CID0235,Suresh Joshi,Business,India,63,51-65,Male,0,suresh.joshi235@gmail.com,9657162259
CID0236,Vishal Desai,Couple,India,34,26-35,Male,0,vishal.desai236@gmail.com,9691461470
CID0237,Ritu Gupta,Leisure,India,37,36-50,Male,0,ritu.gupta237@gmail.com,9281071418
CID0238,Simran Saxena,Business,India,28,26-35,Female,0,simran.saxena238@gmail.com,9705180256
CID0239,Amit Pandey,Couple,India,23,18-25,Male,0,amit.pandey239@gmail.com,9927878967
CID0240,Babita Verma,Business,India,31,26-35,Female,0,babita.verma240@gmail.com,9132519237
CID0241,Srishti Kulkarni,Family,India,52,51-65,Female,0,srishti.kulkarni241@gmail.com,9424371087
CID0242,Riya Mehta,Family,UAE,43,36-50,Female,0,riya.mehta242@gmail.com,9839393192
CID0243,Sneha Joshi,Family,India,44,36-50,Female,0,sneha.joshi243@gmail.com,9465278987
CID0244,Suparna Gupta,Leisure,India,63,51-65,Female,0,suparna.gupta244@gmail.com,9470838810
CID0245,Bhuvan Gupta,Business,India,50,36-50,Male,0,bhuvan.gupta245@gmail.com,9600871106
CID0246,Prasad Verma,Family,India,33,26-35,Male,1,prasad.verma246@gmail.com,9411612760
CID0247,Gaurav Desai,Leisure,India,44,36-50,Male,0,gaurav.desai247@gmail.com,9271476207
CID0248,Kanchan Dixit,Family,India,64,51-65,Female,1,kanchan.dixit248@gmail.com,9271092615
CID0249,Falguni Reddy,Family,India,49,36-50,Female,0,falguni.reddy249@gmail.com,9196689473
CID0250,Nakul Reddy,Family,India,33,26-35,Male,0,nakul.reddy250@gmail.com,9152246275
CID0251,Sneha Khanna,Leisure,India,56,51-65,Female,0,sneha.khanna251@gmail.com,9108780419
CID0252,Nisha Rao,Single,India,34,26-35,Female,0,nisha.rao252@gmail.com,9492922240
CID0253,Amit Kapoor,Family,India,54,51-65,Male,0,amit.kapoor253@gmail.com,9409883716
CID0254,Kritika Kapoor,Leisure,India,46,36-50,Female,0,kritika.kapoor254@gmail.com,9769200551
CID0255,Muskan Kumar,Business,India,24,18-25,Female,0,muskan.kumar255@gmail.com,9464090064
CID0256,Ananya Chopra,Leisure,India,30,26-35,Female,0,ananya.chopra256@gmail.com,9148644109
CID0257,Amit Gupta,Family,Canada,39,36-50,Female,0,amit.gupta257@gmail.com,9259923818
CID0258,Swati Kulkarni,Couple,India,26,26-35,Female,0,swati.kulkarni258@gmail.com,9442019016
CID0259,Vidya Kapoor,Leisure,India,65,51-65,Female,0,vidya.kapoor259@gmail.com,9644725317
CID0260,Shreyash Mishra,Business,India,63,51-65,Female,0,shreyash.mishra260@gmail.com,9117863798
CID0261,Tanya Malhotra,Couple,UK,25,18-25,Female,0,tanya.malhotra261@gmail.com,9955508961
CID0262,Rahul Agarwal,Family,India,34,26-35,Male,0,rahul.agarwal262@gmail.com,9726553348
CID0263,Riya Joshi,Business,India,58,51-65,Female,1,riya.joshi263@gmail.com,9830924936
CID0264,Dhruv Patel,Leisure,India,62,51-65,Male,1,dhruv.patel264@gmail.com,9573561557
CID0265,Sanjay Rao,Family,India,44,36-50,Male,0,sanjay.rao265@gmail.com,9932120169
CID0266,Muskan Dixit,Couple,India,72,65+,Male,0,muskan.dixit266@gmail.com,9656931857
CID0267,Meera Mishra,Couple,India,60,51-65,Female,0,meera.mishra267@gmail.com,9436889280
CID0268,Divya Iyer,Couple,India,39,36-50,Female,0,divya.iyer268@gmail.com,9874086851
CID0269,Deepak Agarwal,Leisure,India,30,26-35,Male,1,deepak.agarwal269@gmail.com,9420511037
CID0270,Aditya Khanna,Leisure,India,63,51-65,Male,0,aditya.khanna270@gmail.com,9625063062
CID0271,Vibha Nair,Couple,India,53,51-65,Female,0,vibha.nair271@gmail.com,9715766024
CID0272,Tanvi Kapoor,Couple,India,70,65+,Female,0,tanvi.kapoor272@gmail.com,9963949678
CID0273,Jitendra Khanna,Family,India,36,36-50,Male,0,jitendra.khanna273@gmail.com,9574997731
CID0274,Deepak Das,Family,India,31,26-35,Male,0,deepak.das274@gmail.com,9391126537
